52 3

Height Weight Expenses

167 71 46.0
171 68 10.4
175 73 21.0
169 74 4.9
154 55 25.9
183 76 85.6
169 71 9.1
166 66 2.5
165 69 35.5
173 63 22.8
184 82 10.3
163 66 13.0
162 63 9.8
168 72 35.3
164 66 50.5
180 81 64.1
158 63 20.6
179 75 5.8
163 65 69.4
160 62 4.8
168 70 8.2
185 83 5.1
174 76 15.8
167 72 9.8
160 62 11.5
163 65 19.4
155 50 10.8
178 78 8.9
170 70 15.1
164 58 21.9
172 71 10.4
178 77 35.6
186 87 9.5
171 69 7.3
156 56 52.8
166 68 47.9
176 78 75.5
178 78 28.4
155 54 13.4
163 62 11.1
158 60 6.1
167 68 27.2
173 70 19.1
174 71 17.6
164 62 10.3
169 65 9.5
166 70 35.6
175 68 44.4
166 65 5.3
159 58 71.4
169 73 5.5
165 67 56.8



