31 8
GDP Spending Investment Salary Logistics CPI1 CPI2 Production
10488.03 20346.0 3814.7 56328.0 758.9 105.1 104.4 10413.0
6354.38 14000.0 3389.8 41718.0 2703.4 105.4 105.1 12503.0
16188.61 6570.0 8866.6 24756.0 5925.5 106.2 106.7 23031.0
6938.73 6187.0 3531.2 25828.0 2562.5 107.2 107.2 10024.0
7761.80 8108.0 5475.4 26114.0 3658.7 105.7 104.7 8740.2
13461.57 9625.0 10019.1 27729.0 7033.9 104.6 105.3 24769.0
6424.06 7591.0 5038.9 23486.0 1157.8 105.1 106.2 8406.9
8310.0 7039.0 3656.0 23046.0 1690.9 105.6 105.8 7624.5
13698.15 27343.0 4823.1 56565.0 16029.8 105.8 105.3 25121.0
30312.61 11013.0 15300.6 31667.0 4300.9 105.4 104.9 67799.0
21486.92 13893.0 9323.0 34146.0 4974.9 105.0 106.3 40832.0
8874.17 6377.0 6747.0 26363.0 5843.2 106.2 106.3 11162.0
10823.11 10361.0 5207.7 25702.0 2396.2 104.6 105.7 15213.0
6480.33 5753.0 4745.4 21000.0 2285.5 106.0 106.1 8499.6
31072.06 9573.0 15435.9 26404.0 10107.8 105.3 104.9 62959.0
18407.78 5877.0 10490.6 24816.0 5165.1 107.0 107.5 26028.0
11330.38 7406.0 5647.0 22739.0 2526.4 106.3 106.3 13455.0
11156.64 7145.0 5535.0 24870.0 2349.8 106.0 105.6 11553.0
33696.46 14390 10868.7 33110 4428.4 105.6 106.0 65425.0
7171.58 6103.0 3756.4 25660.0 2079.0 107.8 107.6 6072.0
1459.23 6550.0 705.4 21864.0 597.7 106.9 106.7 1103.1
5096.66 9835.0 3979.6 26985.0 1490.3 105.6 105.0 5755.9
12506.25 6072.0 7127.8 25038.0 1578.7 105.1 105.3 14762.0
3333.40 4426.0 1864.5 24602.0 805.3 107.6 107.2 3111.1
5700.10 4553.0 3435.9 24030.0 821.3 105.7 106.1 5144.6
395.91 3504.0 309.9 47280.0 35.5 105.7 103.9 48.2
6851.32 6290.0 4614.4 25942.0 2027.0 106.4 106.9 7480.8
3176.11 4869.0 1712.8 24017.0 1594.9 108.2 107.9 3667.5
961.53 5830.0 583.2 30983.0 335.7 110.1 110.6 1103.1
1098.51 7193.0 828.9 30719.0 703.6 108.5 108.5 1366.5 
4203.41 5542.0 2260.0 24687.0 1273.0 108.1 108.5 4276.1
 

 
